english,french
I want to learn a new language.,Savez-vous l'heure ?
Where is the nearest hospital?,J'aime aller courir le matin.
This chair is very comfortable.,Le nouveau film est très excitant.
She is reading a book in the park.,Elle pratique le yoga tous les jours.
I love playing chess.,Je veux apprendre une nouvelle langue.
The food here is delicious.,Où est l'hôpital le plus proche ?
We are planning to go to the beach tomorrow.,Cette chaise est très confortable.
Can you help me with my luggage?,Elle lit un livre dans le parc.
I am preparing a speech for the conference.,J'adore jouer aux échecs.
He is wearing a red shirt.,La nourriture ici est délicieuse.
The weather is really nice today.,Nous prévoyons d'aller à la plage demain.
I enjoy cooking new recipes.,Pouvez-vous m'aider avec mes bagages ?
I am going to the gym in the evening.,Je prépare un discours pour la conférence.
This place is perfect for a picnic.,Il porte une chemise rouge.
The cat is playing with a ball of yarn.,Le temps est vraiment agréable aujourd'hui.
We should go for a walk in the park.,J'aime cuisiner de nouvelles recettes.
I love hiking in the mountains.,Je vais à la salle de sport ce soir.
The car is parked outside.,Cet endroit est parfait pour un pique-nique.
She loves to paint portraits.,Le chat joue avec une pelote de laine.
I like to watch sunsets on the beach.,Nous devrions aller nous promener dans le parc.
I’m looking for a good book to read.,J'adore faire de la randonnée dans les montagnes.
The concert tickets are sold out.,La voiture est garée dehors.
I want to visit Paris someday.,Elle adore peindre des portraits.
He is very good at playing the guitar.,J'aime regarder les couchers de soleil à la plage.
She is studying medicine at the university.,Je cherche un bon livre à lire.
We are going for a road trip next month.,Les billets pour le concert sont épuisés.
This restaurant serves the best pizza.,Je veux visiter Paris un jour.
I have never been to London.,Il est très doué pour jouer de la guitare.
He is learning to play the violin.,Elle étudie la médecine à l'université.
I want to go to the theater tonight.,Nous partons en road trip le mois prochain.
She is taking a photography class.,Ce restaurant sert la meilleure pizza.
The museum has an interesting exhibition.,Je n'ai jamais été à Londres.
I like playing video games in my free time.,Il apprend à jouer du violon.
The park is a great place to relax.,Je veux aller au théâtre ce soir.
I love watching soccer games.,Elle suit un cours de photographie.
We need to buy a gift for her birthday.,Le musée a une exposition intéressante.
I’m going to bed early tonight.,J'aime jouer aux jeux vidéo pendant mon temps libre.
Can you speak French?,Le parc est un excellent endroit pour se détendre.
We are planning to go to a concert next week.,J'adore regarder des matchs de football.
The library is very quiet.,Nous devons acheter un cadeau pour son anniversaire.
This movie is not interesting at all.,Je vais me coucher tôt ce soir.
I am working on a new project.,Parles-tu français ?
I like visiting new places.,Nous prévoyons d'aller à un concert la semaine prochaine.
We are going to have a barbecue this weekend.,La bibliothèque est très calme.
I am writing a letter to my friend.,Ce film n'est pas du tout intéressant.
I need a new pair of shoes.,Je travaille sur un nouveau projet.
She is cooking dinner for us.,J'aime visiter de nouveaux endroits.
We need to clean the house this weekend.,Nous allons faire un barbecue ce week-end.
He is very talented at drawing.,Je rédige une lettre à mon ami.
I am looking for a new job.,J'ai besoin d'une nouvelle paire de chaussures.
I love to explore new places in the city.,Elle prépare le dîner pour nous.
She is watching a movie at home.,Nous devons nettoyer la maison ce week-end.
We should go out for dinner tonight.,Il est très talentueux en dessin.
I like playing basketball with my friends.,Je cherche un nouvel emploi.
The weather is perfect for a picnic.,J'adore explorer de nouveaux endroits en ville.
Do you want to go for a walk?,Elle regarde un film à la maison.
I am studying for my final exams.,Nous devrions sortir dîner ce soir.
She is learning how to cook.,J'aime jouer au basket avec mes amis.
The coffee is too hot to drink.,Le temps est parfait pour un pique-nique.
I need to buy a gift for my mother.,Veux-tu aller te promener ?
I enjoy spending time with my friends.,J'étudie pour mes examens finaux.
The weather is very cold today.,Elle apprend à cuisiner.
We are planning a family reunion next month.,Le café est trop chaud pour être bu.
He is working from home today.,J'ai besoin d'acheter un cadeau pour ma mère.
She is an amazing singer.,J'aime passer du temps avec mes amis.
I’m going on a business trip next week.,Il fait très froid aujourd'hui.
The concert starts at 8 PM.,Nous prévoyons une réunion de famille le mois prochain.
We should meet at the train station.,Il travaille de chez lui aujourd'hui.
I like to drink coffee in the morning.,Elle est une chanteuse incroyable.
The park is very peaceful today.,Je pars en voyage d'affaires la semaine prochaine.
I am going to visit a friend tomorrow.,Le concert commence à 20h.
We need to buy more groceries.,Nous devrions nous rencontrer à la gare.
I love taking walks in the evening.,J'aime boire du café le matin.
I am going to the post office to send a letter.,Le parc est très paisible aujourd'hui.
The beach is beautiful at sunset.,Je vais rendre visite à un ami demain.
Can you help me with this project?,Nous devons acheter plus de courses.
I am very excited for the vacation.,J'adore faire des promenades en soirée.
This restaurant is very popular.,Je vais à la poste envoyer une lettre.
The house is very clean.,La plage est magnifique au coucher du soleil.
She loves to write in her journal.,Pouvez-vous m'aider avec ce projet ?
I enjoy reading travel blogs.,Je suis très excité pour les vacances.
I want to visit the Eiffel Tower.,Ce restaurant est très populaire.
The train is running late today.,La maison est très propre.
She is wearing a yellow dress.,Elle adore écrire dans son journal.
I’m going to the mall to buy a jacket.,J'aime lire des blogs de voyage.
I need to take a nap.,Je veux visiter la Tour Eiffel.
Do you want to join me for dinner?,Le train est en retard aujourd'hui.
I am learning how to play chess.,Elle porte une robe jaune.
The dog is chasing a ball in the yard.,Je vais au centre commercial acheter un manteau.
I like to listen to podcasts while walking.,J'ai besoin de faire une sieste.
This is my favorite song.,Veux-tu te joindre à moi pour le dîner ?
The museum is open every day except Monday.,J'apprends à jouer aux échecs.
I am going to the park with my dog.,Le chien court après une balle dans le jardin.
I need to make an appointment with the doctor.,J'aime écouter des podcasts pendant que je marche.
She is very good at playing the piano.,C'est ma chanson préférée.
We are going on a family vacation next summer.,Le musée est ouvert tous les jours sauf le lundi.
I love spending time at the beach.,Je vais au parc avec mon chien.
I’m reading a book about history.,Je dois prendre un rendez-vous chez le médecin.
I am planning to visit the mountains this winter.,Elle est très bonne pour jouer du piano.
Can you recommend a good movie?,Nous partons en vacances en famille l'été prochain.
The bakery is closed today.,J'adore passer du temps à la plage.
We are going to a wedding next weekend.,Je lis un livre sur l'histoire.
I need to buy new glasses.,Je prévois de visiter les montagnes cet hiver.
He is a great cook.,Peux-tu recommander un bon film ?
I love eating pizza on Fridays.,La boulangerie est fermée aujourd'hui.
This cake tastes delicious.,Nous allons à un mariage le week-end prochain.
I am meeting my friend for lunch.,J'ai besoin d'acheter de nouvelles lunettes.
We are going to have a picnic in the park.,Il est un excellent cuisinier.
I want to buy a new phone.,J'adore manger de la pizza le vendredi.
I like to visit museums when I travel.,Ce gâteau est délicieux.
This is a great place to relax.,Je vais déjeuner avec mon ami.
I’m going to the bank to withdraw some money.,Nous allons pique-niquer dans le parc.
I need to make a phone call.,Je veux acheter un nouveau téléphone.
I love watching documentaries.,J'aime visiter les musées lorsque je voyage.
She is going to a friend's wedding.,C'est un endroit idéal pour se détendre.
I am planning a trip to Japan.,Je vais à la banque retirer de l'argent.
Do you have any plans for the weekend?,Je dois passer un appel téléphonique.
I need to buy groceries for the week.,J'adore regarder des documentaires.
I am learning how to drive.,Elle va au mariage d'un ami.
The kids are playing outside.,Je planifie un voyage au Japon.
I want to join a gym to get fit.,As-tu des projets pour le week-end ?
It’s important to stay hydrated.,Je dois acheter des courses pour la semaine.
I need to catch up on work.,J'apprends à conduire.
She is practicing for her piano recital.,Les enfants jouent dehors.
I will be attending a conference next month.,Je veux m'inscrire à une salle de sport pour être en forme.
We should visit the art gallery this weekend.,Il est important de rester hydraté.
I am watching a new TV series.,Je dois rattraper le travail.
He is preparing for his final exams.,Elle s'entraîne pour son récital de piano.
Can you recommend a good restaurant?,Je vais assister à une conférence le mois prochain.
I’m planning to redecorate my room.,Nous devrions visiter la galerie d'art ce week-end.
I love listening to jazz music.,Je regarde une nouvelle série télévisée.
She is cooking dinner for her family.,Il se prépare pour ses examens finaux.
I’m thinking of buying a new camera.,Peux-tu recommander un bon restaurant ?
We should go for a coffee sometime.,Je prévois de redécorer ma chambre.
I have a dentist appointment tomorrow.,J'adore écouter de la musique jazz.
He is learning how to swim.,Elle cuisine le dîner pour sa famille.
I like to take photos of nature.,Je pense acheter un nouvel appareil photo.
This book is very interesting.,Nous devrions aller prendre un café un de ces jours.
I need to return this dress to the store.,J'ai un rendez-vous chez le dentiste demain.
I am doing some research for my thesis.,Il apprend à nager.
She loves to travel the world.,J'aime prendre des photos de la nature.
I am working from home today.,Ce livre est très intéressant.
This weather makes me feel so happy.,Je dois rendre cette robe au magasin.
I love spending time with my dog.,Je fais des recherches pour ma thèse.
We should organize a weekend getaway.,Elle adore voyager dans le monde.
I’m trying to eat healthier.,Je travaille de chez moi aujourd'hui.
He is writing a new book.,Ce temps me rend tellement heureux.
I love spending time in the kitchen.,J'adore passer du temps avec mon chien.
She is taking dance lessons.,Nous devrions organiser une escapade de week-end.
We are planning a surprise party for her birthday.,J'essaie de manger plus sainement.
I want to visit the zoo this weekend.,Il écrit un nouveau livre.
The park is full of people today.,J'adore passer du temps dans la cuisine.
I enjoy playing board games with friends.,Elle prend des cours de danse.
I need to take my car to the mechanic.,Nous organisons une fête surprise pour son anniversaire.
We’re going to see a movie tonight.,Je veux visiter le zoo ce week-end.
I am meeting my colleagues for lunch.,Le parc est plein de monde aujourd'hui.
He is preparing for a job interview.,J'aime jouer à des jeux de société avec des amis.
I enjoy gardening in my free time.,Je dois emmener ma voiture chez le mécanicien.
She is organizing a charity event.,Nous allons voir un film ce soir.
The flight was delayed due to weather.,Je déjeune avec mes collègues.
I love visiting new places around the world.,Il se prépare pour un entretien d'embauche.
We should go for a walk in the city.,J'aime jardiner pendant mon temps libre.
I have been feeling a bit under the weather.,Elle organise un événement caritatif.
I want to learn how to cook new dishes.,Le vol a été retardé en raison du mauvais temps.
He is attending a workshop this weekend.,J'adore visiter de nouveaux endroits dans le monde.
She is studying for her finals.,Nous devrions aller nous promener en ville.
I’m thinking of buying a new laptop.,Je me sens un peu mal à l'aise.
I need to go to the bank later.,Je veux apprendre à cuisiner de nouveaux plats.
We should organize a barbecue this weekend.,Il participe à un atelier ce week-end.
I enjoy swimming in the ocean.,Elle étudie pour ses examens finaux.
I am reading a very interesting book.,Je pense acheter un nouvel ordinateur portable.
We should go hiking this weekend.,Je dois aller à la banque plus tard.
She is planning a trip to New York.,Nous devrions organiser un barbecue ce week-end.
I am working on a new project at work.,J'adore nager dans l'océan.
I want to visit the Grand Canyon someday.,Je lis un livre très intéressant.
He is interested in photography.,Nous devrions partir en randonnée ce week-end.
The bakery smells amazing today.,Elle planifie un voyage à New York.
I love taking walks by the beach.,Je travaille sur un nouveau projet au travail.
We need to buy new furniture for the house.,Je veux visiter le Grand Canyon un jour.
I am going to the post office later today.,Il est passionné de photographie.
The concert was amazing.,La boulangerie sent incroyablement bon aujourd'hui.
I like trying out new restaurants.,J'adore faire des promenades près de la plage.
We are planning a road trip next month.,Nous devons acheter de nouveaux meubles pour la maison.
I want to visit the Eiffel Tower someday.,Je vais à la poste plus tard aujourd'hui.
She is reading a book on history.,Le concert était incroyable.
I am trying to save money for a vacation.,J'aime essayer de nouveaux restaurants.
The kids are learning how to skate.,Nous prévoyons un road trip le mois prochain.
I am meeting my friends for lunch today.,Je veux visiter la Tour Eiffel un jour.
He is starting a new job next week.,Elle lit un livre sur l'histoire.
We should go to the movies this weekend.,J'essaie d'économiser de l'argent pour les vacances.
I am studying for a certification exam.,Les enfants apprennent à faire du patin à glace.
She is decorating her new apartment.,Je déjeune avec mes amis aujourd'hui.
I need to buy some new clothes.,Il commence un nouveau travail la semaine prochaine.
We should organize a picnic in the park.,Nous devrions aller au cinéma ce week-end.
I love walking my dog in the morning.,J'étudie pour un examen de certification.
She is learning to play the guitar.,Elle décore son nouvel appartement.
We need to get some more vegetables.,Je dois acheter de nouveaux vêtements.
I am visiting my parents this weekend.,Nous devrions organiser un pique-nique dans le parc.
I want to learn how to bake.,J'adore promener mon chien le matin.
We should go to the theater to watch a play.,Elle apprend à jouer de la guitare.
The concert tickets sold out in minutes.,Nous devons acheter plus de légumes.
